displayName,height,weight,birthDate,collegeName,position,nflId
Blake Jarwin,77,260,7/16/94,Oklahoma State,TE,2559193
Damien Wilson,72,243,5/28/93,Minnesota,OLB,2552686
Jaylon Smith,74,245,6/14/95,Notre Dame,MLB,2555310
Chris Manhertz,78,255,4/10/92,Canisius,TE,2552622
Alex Armah,74,255,5/17/94,West Georgia,RB,2558833
D.J. Moore,71,215,4/14/97,Maryland,WR,2560813
Joe Thomas,73,232,5/6/91,South Carolina State,ILB,2550262
Terrance Williams,2-Jun,210,9/18/89,Baylor,WR,2539205
David Mayo,74,240,8/8/93,Texas State,MLB,2553441
Greg Olsen,77,255,3/11/85,Miami,TE,2495700
Justin March,72,222,7/5/93,Akron,OLB,2553815
C.J. Anderson,8-May,225,2/10/91,California,RB,2540269
Colin Jones,72,205,10/27/87,Texas Christian,FS,2499257
Dalton Schultz,77,242,7/11/96,Stanford,TE,2560866
Jamize Olawale,73,242,4/17/89,North Texas,FB,2536044
Prince Amukamara,72,204,6/6/89,Nebraska,CB,2495108
Danny Trevathan,72,239,3/24/90,Kentucky,ILB,2532961
Kyle Fuller,71,194,2/16/92,Virginia Tech,CB,2543681
Adrian Amos,72,214,4/29/93,Penn State,FS,2552385
Bryce Callahan,69,188,10/23/91,Rice,CB,2553500
Nick Kwiatkoski,74,242,5/26/93,West Virginia,ILB,2555288
Eddie Jackson,72,202,12/10/93,Alabama,FS,2558176
Lance Kendricks,75,250,1/30/88,Wisconsin,TE,2495187
Randall Cobb,70,192,8/22/90,Kentucky,WR,2495448
Aaron Rodgers,74,225,12/2/83,California,QB,2506363
Davante Adams,73,215,12/24/92,Fresno State,WR,2543495
Ty Montgomery,72,216,1/22/93,Stanford,RB,2552429
Geronimo Allison,75,202,1/18/94,Illinois,WR,2556460
Jimmy Graham,79,265,11/24/86,Miami,TE,497236
Marquez Valdes-Scantling,76,207,10/10/94,South Florida,WR,2560907
Leonard Floyd,77,240,9/8/92,Georgia,OLB,2555285
Jamaal Williams,72,213,4/3/95,Brigham Young,RB,2558204
Dion Sims,4-Jun,268,2/18/91,Michigan State,TE,2540200
Allen Robinson,74,220,8/24/93,Penn State,WR,2543509
Trey Burton,74,238,10/29/91,Florida,TE,2550284
Taylor Gabriel,67,168,2/17/91,Abilene Christian,WR,2550617
Jordan Howard,72,224,11/2/94,Indiana,RB,2555418
Mitchell Trubisky,74,215,8/20/94,North Carolina,QB,2558008
Clay Matthews,75,255,5/14/86,Southern California,OLB,80431
Tramon Williams,71,191,3/16/83,Louisiana Tech,CB,2506789
Ha Ha Clinton-Dix,73,211,12/21/92,Alabama,FS,2543470
Jermaine Whitehead,11-May,195,3/12/93,Auburn,FS,2552697
Blake Martinez,74,237,1/9/94,Stanford,ILB,2555161
Kentrell Brice,71,200,8/11/94,Louisiana Tech,SS,2556480
Reggie Gilbert,76,260,4/1/93,Arizona,LB,2556537
Kevin King,75,200,5/5/95,Washington,CB,2557996
Josh Jackson,72,196,4/3/96,Iowa,CB,2560755
Anthony Miller,71,199,10/9/94,Memphis,WR,2560810
Nick Perry,3-Jun,265,4/12/90,USC,OLB,2533048
Jaire Alexander,70,196,2/9/97,Louisville,CB,2560952
Tarik Cohen,66,191,7/26/95,North Carolina A&T,RB,2558250
DeShone Kizer,76,235,1/3/96,Notre Dame,QB,2557983
Roquan Smith,72,230,4/8/97,Georgia,LB,2560877
Sherrick McManis,71,203,12/19/87,Northwestern,CB,494289
Ben Braunecker,75,247,2/7/94,Harvard,TE,2556478
Antonio Morrison,1-Jun,241,12/6/94,Florida,ILB,2555160
Kevin White,75,216,6/25/92,West Virginia,WR,2553432
Michael Burton,72,240,2/1/92,Rutgers,FB,2552636
Kyler Fackrell,77,245,11/25/91,Utah State,OLB,2555340
Eddie Goldman,75,318,1/6/94,Florida State,NT,2552489
Sam Acho,75,259,9/6/88,Texas,OLB,2495101
Marcus Cooper,2-Jun,197,2/1/90,Rutgers,CB,2541202
Marcedes Lewis,78,267,5/19/84,UCLA,TE,2495888
Buster Skrine,69,185,4/26/89,Chattanooga,CB,2495343
Trumaine Johnson,74,213,1/1/90,Montana,CB,2532877
Morris Claiborne,71,192,2/7/90,Louisiana State,CB,2533059
Avery Williamson,73,246,3/9/92,Kentucky,ILB,2543597
Jordan Jenkins,75,259,7/1/94,Georgia,OLB,2555256
Darron Lee,73,232,10/18/94,Ohio State,ILB,2555322
Doug Middleton,72,210,9/25/93,Appalachian State,S,2556617
Jamal Adams,73,213,10/17/95,Louisiana State,SS,2557979
Matthew Stafford,75,220,2/7/88,Georgia,QB,79860
Golden Tate,71,197,8/2/88,Notre Dame,WR,497326
Marvin Jones,74,198,3/12/90,California,WR,2532884
Michael Roberts,77,265,5/7/94,Toledo,TE,2558049
Kenny Golladay,76,213,11/3/93,Northern Illinois,WR,2558052
Kerryon Johnson,71,212,6/30/97,Auburn,RB,2560765
Theo Riddick,69,201,5/4/91,Notre Dame,RB,2540020
Luke Willson,77,254,1/15/90,Rice,TE,2541199
Levine Toilolo,80,268,7/30/91,Stanford,TE,2540203
Frankie Luvu,75,235,9/19/96,Washington State,LB,2561366
T.J. Jones,Jun-00,190,7/19/92,Notre Dame,WR,2543836
Darryl Roberts,72,182,11/26/90,Marshall,CB,2553353
Hakeem Valles,3-Jun,250,11/23/92,Monmouth (N.J.),TE,2556453
J.J. Wilcox,72,212,2/14/91,Georgia Southern,FS,2540219
Leonard Williams,77,302,6/20/94,Southern California,DE,2552486
Quincy Enunwa,74,225,5/31/92,Nebraska,WR,2543828
Isaiah Crowell,71,225,1/8/93,Alabama State,RB,2550189
Neal Sterling,4-Jun,257,1/14/92,"Monmouth, N.J.",TE,2553451
Eric Tomlinson,78,263,4/22/92,Texas-El Paso,TE,2553744
Robby Anderson,75,190,5/9/93,Temple,WR,2556462
Sam Darnold,75,225,6/5/97,Southern California,QB,2561036
Glover Quin,Jun-00,207,1/15/86,New Mexico,FS,71441
Tavon Wilson,72,208,3/19/90,Illinois,SS,2534830
Darius Slay,72,190,1/1/91,Mississippi State,CB,2540288
Devon Kennard,75,256,6/24/91,Southern California,OLB,2543869
Nevin Lawson,69,190,4/23/91,Utah State,CB,2543872
Christian Jones,75,250,2/18/91,Florida State,ILB,2550572
Quandre Diggs,69,197,1/22/93,Texas,SS,2552262
Jalen Reeves-Maybin,72,233,1/31/95,Tennessee,OLB,2557924
Terrelle Pryor,4-Jun,228,6/20/89,Ohio State,WR,2531332
Jamal Agnew,70,190,4/3/95,San Diego,CB,2558821
Jarrad Davis,73,245,11/16/94,Florida,MLB,2557855
Chris Herndon,76,252,2/23/96,Miami,TE,2560738
Eli Harold,3-Jun,243,1/20/94,Virginia,DE,2552494
LeGarrette Blount,Jun-00,247,12/5/86,Oregon,RB,497149
Bilal Powell,70,204,10/27/88,Louisville,RB,2495328
Parry Nickerson,70,180,10/11/94,Tulane,CB,2560822
Nick Bellore,73,250,5/12/89,Central Michigan,FB,2495262
Neville Hewitt,74,234,4/6/93,Marshall,OLB,2553657
Matt Cassel,4-Jun,225,5/17/82,USC,QB,2506562
Marquis Flowers,2-Jun,250,2/16/92,Arizona,OLB,2549896
Bradley Marquez,10-May,205,12/14/92,Texas Tech,WR,2553725
Andre Roberts,71,195,1/9/88,Citadel,WR,497320
Charone Peake,2-Jun,209,10/16/92,Clemson,WR,2555477
Jordan Leggett,77,258,1/31/95,Clemson,TE,2557885
Trenton Cannon,71,185,7/23/94,Virginia State,RB,2561137
Teez Tabor,72,191,12/31/95,Florida,CB,2557955
Aqib Talib,73,209,2/13/86,Kansas,CB,1302
Nickell Robey-Coleman,68,178,1/17/92,Southern California,CB,2540197
Lamarcus Joyner,68,185,11/27/90,Florida State,FS,2543492
Marcus Peters,72,197,1/9/93,Washington,CB,2552488
Marqui Christian,71,207,10/27/94,Midwestern State,SS,2556277
Cory Littleton,75,228,11/18/93,Washington,ILB,2556593
John Johnson,72,209,12/19/95,Boston College,SS,2558183
Samson Ebukam,75,245,5/9/95,Eastern Washington,OLB,2558830
Jordy Nelson,3-Jun,217,5/31/85,Kansas State,WR,1032
Jared Cook,77,254,4/7/87,South Carolina,TE,71265
Marshawn Lynch,71,215,4/22/86,California,RB,2495663
Derek Carr,75,210,3/28/91,Fresno State,QB,2543499
Seth Roberts,74,195,2/22/91,West Alabama,WR,2550597
Amari Cooper,73,211,6/17/94,Alabama,WR,2552487
Robert Woods,72,193,4/10/92,Southern California,WR,2540169
Brandin Cooks,70,183,9/25/93,Oregon State,WR,2543498
Todd Gurley,73,224,8/3/94,Georgia,RB,2552475
Jared Goff,76,223,10/14/94,California,QB,2555334
Tyler Higbee,78,257,1/1/93,Western Kentucky,TE,2555364
Cooper Kupp,74,208,6/15/93,Eastern Washington,WR,2557898
Marcus Gilchrist,10-May,200,12/8/88,Clemson,FS,2495153
Leon Hall,11-May,195,12/9/84,Michigan,CB,2495617
Derrick Johnson,3-Jun,245,11/22/82,Texas,ILB,2506353
Reggie Nelson,11-May,210,9/21/83,Florida,FS,2507167
Tahir Whitehead,73,241,4/2/90,Temple,OLB,2532986
Rashaan Melvin,74,194,10/2/89,Northern Illinois,CB,2541200
Gareon Conley,72,190,6/29/95,Ohio State,CB,2558062
Dominique Easley,2-Jun,263,4/28/92,Florida,OLB,2543487
Ramik Wilson,2-Jun,237,8/19/92,Georgia,ILB,2552320
Derek Carrier,75,240,7/25/90,Beloit,TE,2534241
Jalen Richard,68,207,10/15/93,Southern Mississippi,RB,2556885
Matt Longacre,3-Jun,265,9/21/91,Northwest Missouri State,OLB,2553722
Doug Martin,9-May,210,1/13/89,Boise State,RB,2532899
Dominique Rodgers-Cromartie,74,205,4/7/86,Tennessee State,CB,306
Gerald Everett,75,240,6/25/94,South Alabama,TE,2557889
Josh Reynolds,75,196,2/16/95,Texas A&M,WR,2558194
Marquel Lee,75,235,10/21/95,Wake Forest,MLB,2557972
Malcolm Brown,71,222,5/15/93,Texas,RB,2552382
Shilique Calhoun,76,260,3/20/92,Michigan State,LB,2555294
Johnny Mundt,76,232,11/23/94,Oregon,TE,2558875
Emmanuel Lamur,4-Jun,245,6/8/89,Kansas State,OLB,2536032
Karl Joseph,70,200,9/8/93,West Virginia,SS,2555342
Keith Smith,72,240,4/8/92,San Jose State,FB,2550400
Tony McRae,70,185,5/3/93,North Carolina A&T,CB,2556817
Sam Hubbard,77,265,6/29/95,Ohio State,DE,2560745
Jordan Richards,71,210,1/21/93,Stanford,SS,2552392
Ito Smith,69,195,9/11/95,Southern Mississippi,RB,2559924
Marquis Haynes,74,235,12/16/93,Mississippi,DE,2561009
Rashaan Gaulden,73,200,1/23/95,Tennessee,DB,2560775
Blidi Wreh-Wilson,73,190,12/5/89,Connecticut,CB,2539219
Corn Elder,70,185,10/9/94,Miami,CB,2558171
Keith Tandy,10-May,205,2/12/89,West Virginia,FS,2534741
Virgil Green,77,255,8/3/88,Nevada,TE,2495288
Philip Rivers,77,228,12/8/81,North Carolina State,QB,2506121
Melvin Gordon,73,215,4/13/93,Wisconsin,RB,2552469
Derek Watt,74,234,11/7/92,Wisconsin,FB,2555220
Mike Williams,76,218,10/4/94,Clemson,WR,2558846
Sean Culkin,77,255,6/11/93,Missouri,TE,2559161
Vontae Davis,11-May,207,5/27/88,Illinois,CB,79901
Antonio Gates,4-Jun,255,6/18/80,Kent State,TE,2505299
Keenan Allen,74,211,4/27/92,California,WR,2540154
Tyrell Williams,76,205,2/12/92,Western Oregon,WR,2553913
Casey Hayward,71,192,9/9/89,Vanderbilt,CB,2532861
Jahleel Addae,70,195,1/24/90,Central Michigan,SS,2541958
Denzel Perryman,71,240,12/5/92,Miami,ILB,2552310
Trevor Williams,71,191,9/15/93,Penn State,CB,2556828
Desmond King,70,201,12/14/94,Iowa,CB,2557927
Derwin James,74,215,8/3/96,Florida State,SS,2560760
Kyzir White,74,216,3/24/96,West Virginia,LB,2560928
Austin Ekeler,70,200,5/17/95,"Western State, Colo.",RB,2559169
Adrian Phillips,71,210,3/28/92,Texas,SS,2550842
Jatavis Brown,71,221,2/18/94,Akron,OLB,2556148
Uchenna Nwosu,74,251,12/28/96,Southern California,LB,2560826
Rayshawn Jenkins,74,220,1/25/94,Miami,SS,2558182
Kyle Emanuel,75,250,8/16/91,North Dakota State,OLB,2552296
Patrick DiMarco,73,234,4/30/89,South Carolina,FB,2530763
Ramon Humber,11-May,232,8/10/87,North Dakota State,OLB,2507644
Lafayette Pitts,71,195,9/24/92,Pittsburgh,CB,2556652
Geremy Davis,75,211,1/10/92,Connecticut,WR,2552654
J.J. Jones,10-May,174,12/6/92,West Georgia,WR,2561358
Detrez Newsome,10-May,210,3/6/94,Western Carolina,RB,2561382
Siran Neal,72,205,8/4/94,Jacksonville State,DB,2560818
Kyle Rudolph,78,265,11/9/89,Notre Dame,TE,2495438
Kirk Cousins,75,202,8/19/88,Michigan State,QB,2532820
Latavius Murray,75,230,1/18/90,Central Florida,RB,2541161
Adam Thielen,74,200,8/22/90,Minn. State-Mankato,WR,2541785
David Morgan,76,265,5/19/93,Texas-San Antonio,TE,2555306
Tyler Conklin,75,254,7/30/95,Central Michigan,TE,2561027
Stefon Diggs,72,191,11/29/93,Maryland,WR,2552608
Laquon Treadwell,74,215,6/14/95,Mississippi,WR,2555214
Korey Toomer,2-Jun,235,12/9/88,Idaho,MLB,2534567
Andrew Sendejo,73,210,9/9/87,Rice,SS,2525323
Harrison Smith,74,214,2/2/89,Notre Dame,FS,2532948
Xavier Rhodes,73,218,6/19/90,Florida State,CB,2540155
Anthony Barr,77,255,3/18/92,UCLA,OLB,2543459
Eric Kendricks,72,232,2/29/92,UCLA,MLB,2552312
Trae Waynes,72,190,7/25/92,Michigan State,CB,2552448
Mackensie Alexander,70,192,11/12/93,Clemson,CB,2555177
Dalvin Cook,70,210,8/10/95,Florida State,RB,2557991
C.J. Ham,71,235,7/22/93,"Augustana, S.D.",FB,2556803
Davon House,Jun-00,195,7/10/89,New Mexico State,CB,2495170
Ben Gedeon,74,244,10/16/94,Michigan,OLB,2558033
Jayron Kearse,76,215,2/11/94,Clemson,SS,2555156
Stacy Coley,Jun-00,195,5/13/94,Miami (Fla.),WR,2557896
Mike Hughes,70,191,2/11/97,Central Florida,CB,2560746
Brandon Zylstra,74,215,3/25/93,"Concordia, Minn",WR,2560243
James Burgess,72,230,3/9/94,Louisville,OLB,2556489
Orson Charles,3-Jun,257,1/27/91,Georgia,TE,2533047
P.J. Williams,72,196,6/1/93,Florida State,CB,2552484
Jermaine Kearse,73,209,2/6/90,Washington,WR,2532887
Travis Kelce,77,260,10/5/89,Cincinnati,TE,2540258
Sammy Watkins,73,211,6/14/93,Clemson,WR,2543457
Chris Conley,75,205,10/25/92,Georgia,WR,2552652
Tyreek Hill,70,185,3/1/94,West Alabama,WR,2556214
Kareem Hunt,71,216,8/6/95,Toledo,RB,2557917
Patrick Mahomes,75,230,9/17/95,Texas Tech,QB,2558125
Coty Sensabaugh,71,187,11/15/88,Clemson,CB,2532946
Orlando Scandrick,10-May,196,2/10/87,Boise State,CB,2307
Justin Houston,75,270,1/21/89,Georgia,DE,2495493
Ron Parker,Jun-00,206,8/17/87,Newberry,FS,2530794
Anthony Hitchens,72,235,6/10/92,Iowa,MLB,2543592
Steven Nelson,71,194,1/22/93,Oregon State,CB,2552265
Reggie Ragland,74,252,9/23/93,Alabama,ILB,2555169
Eric Murray,71,199,1/7/94,Minnesota,FS,2555173
Kendall Fuller,71,198,2/13/95,Virginia Tech,CB,2555349
Breeland Speaks,75,285,12/18/95,Mississippi,LB,2560881
Armani Watts,71,205,3/19/96,Texas A&M,DB,2560921
Vance McDonald,76,267,6/13/90,Rice,TE,2540215
Terrance Smith,2-Jun,235,5/3/93,Florida State,ILB,2556775
Anthony Sherman,70,242,12/11/88,Connecticut,FB,2495340
Demetrius Harris,79,230,7/29/91,Wisconsin-Milwaukee,TE,2541187
Tremon Smith,71,190,7/20/96,Central Arkansas,WR,2561103
Tanoh Kpassagnon,79,289,6/14/94,Villanova,DE,2558185
Darrius Heyward-Bey,2-Jun,210,2/26/87,Maryland,WR,80427
Spencer Ware,70,229,11/23/91,LSU,RB,2540204
Damien Williams,71,224,4/3/92,Oklahoma,RB,2550512
Demarcus Robinson,73,203,9/21/94,Florida,WR,2555478
De'Anthony Thomas,68,176,1/5/93,Oregon,WR,2543638
Stevan Ridley,11-May,220,1/27/89,LSU,RB,2495470
Dorian O'Daniel,73,220,9/4/94,Clemson,LB,2560827
Kamar Aiken,2-Jun,216,5/30/89,Central Florida,WR,2530660
Nigel Bradham,74,241,9/4/89,Florida State,OLB,2532800
Josh Perkins,75,223,8/5/93,Washington,TE,2556444
Javien Elliott,71,185,7/18/93,Florida State,CB,2556934
Jordan Whitehead,70,198,3/18/97,Pittsburgh,DB,2560930
Marcus Williams,11-May,196,3/24/91,North Dakota State,CB,2550605
Shaun Wilson,69,185,12/2/95,Duke,RB,2561291
Will Fuller,72,184,4/16/94,Notre Dame,WR,2555346
Harold Landry,74,250,6/5/96,Boston College,OLB,2560784
Duke Ejiofor,76,255,4/24/95,Wake Forest,LB,2560714
Anthony Firkser,74,246,2/19/95,Harvard,TE,2558942
Brennan Scarlett,76,263,7/31/93,Stanford,OLB,2556673
Joe Webb,76,231,11/14/86,Alabama-Birmingham,QB,1037347
Shareece Wright,11-May,184,4/8/87,USC,CB,2495251
Johnson Bademosi,72,219,7/23/90,Stanford,CB,2535693
Brian Peters,4-Jun,240,10/31/88,Northwestern (Ia),ILB,2552730
Natrell Jamerson,71,200,12/15/95,Wisconsin,DB,2560759
Peter Kalambayi,75,254,6/26/95,Stanford,LB,2560774
Buddy Howell,73,218,3/27/96,Florida Atlantic,RB,2561344
A.J. Moore,71,202,12/15/95,Mississippi,DB,2561538
Brett Kern,74,214,2/17/86,Toledo,P,4263
Beau Brinkley,76,260,1/25/90,Missouri,LS,2535701
Brynden Trawick,74,225,10/23/89,Troy,FS,2541756
Dane Cruikshank,73,209,4/27/95,Arizona,DB,2561033
Pierre Desir,73,192,9/8/90,Lindenwood,CB,2543811
Marlon Mack,72,210,3/7/96,South Florida,RB,2558123
Ryan Hewitt,4-Jun,255,1/24/91,Stanford,TE,2550206
Marcus Johnson,73,207,8/5/94,Texas,WR,2556855
Jehu Chesson,74,204,12/20/93,Michigan,WR,2557866
Brian Quick,3-Jun,215,6/5/89,Appalachian State,WR,2532933
Sam Shields,11-May,178,12/8/87,Miami (Fla.),CB,1037374
Gerald Hodges,2-Jun,236,1/17/91,Penn State,ILB,2539293
Bene' Benwikere,Jun-00,195,9/3/91,San Jose State,CB,2543855
J.J. Nelson,70,160,4/24/92,Alabama-Birmingham,WR,2552656
Bryce Hager,73,237,5/4/92,Baylor,ILB,2552307
Troy Hill,71,184,8/29/91,Oregon,CB,2553536
Blake Countess,70,191,8/8/93,Auburn,SS,2556374
Isaiah Johnson,73,210,5/16/92,Georgia Tech,DB,2553545
Pierre Garcon,Jun-00,211,8/8/86,Mount Union,WR,2346
Garrett Celek,77,252,5/29/88,Michigan State,TE,2534820
Jimmy Garoppolo,74,225,11/2/91,Eastern Illinois,QB,2543801
George Kittle,76,250,10/9/93,Iowa,TE,2558266
Matt Breida,70,190,2/28/95,Georgia Southern,RB,2558918
Dante Pettis,73,195,10/23/95,Washington,WR,2560836
Trent Taylor,68,181,4/30/94,Louisiana Tech,WR,2558202
Kendrick Bourne,73,203,8/4/95,Eastern Washington,WR,2558914
Richard Sherman,75,195,3/30/88,Stanford,CB,2495507
K'Waun Williams,69,183,7/12/91,Pittsburgh,CB,2550654
Jaquiski Tartt,73,215,2/12/92,Samford,FS,2552391
Elijah Lee,74,229,2/8/96,Kansas State,LB,2558121
Ahkello Witherspoon,75,195,3/21/95,Colorado,CB,2558157
Adrian Colbert,74,205,10/6/93,Miami,FS,2558857
Fred Warner,75,230,11/19/96,Brigham Young,LB,2560917
Alfred Morris,10-May,222,12/12/88,Florida Atlantic,RB,2533457
Richie James,69,185,9/5/95,Middle Tennessee,WR,2560761
Kyle Juszczyk,73,240,4/23/91,Harvard,FB,2540230
Mark Nzeocha,75,239,1/19/90,Wyoming,MLB,2552684
Tracy Walker,73,210,2/1/95,Louisiana-Lafayette,DB,2560913
Jimmie Ward,71,193,7/18/91,Northern Illinois,FS,2543741
Romeo Okwara,76,263,6/17/95,Notre Dame,DE,2556641
Cole Wick,78,257,11/30/93,Incarnate Word,TE,2556708
Antone Exum,Jun-00,219,2/27/91,Virginia Tech,FS,2543680
Darian Stewart,71,214,8/4/88,South Carolina,FS,494307
Von Miller,75,250,3/26/89,Texas A&M,OLB,2495202
Chris Harris,70,199,6/18/89,Kansas,CB,2530510
Brandon Marshall,1-Jun,245,9/10/89,Nevada,ILB,2532898
Bradley Roby,71,194,5/1/92,Ohio State,CB,2543505
Todd Davis,73,230,5/17/92,Sacramento State,ILB,2550930
Justin Simmons,74,202,11/19/93,Boston College,SS,2555550
Emmanuel Sanders,71,180,3/17/87,Southern Methodist,WR,497322
Demaryius Thomas,75,225,12/25/87,Georgia Tech,WR,497328
Case Keenum,73,215,2/17/88,Houston,QB,2532888
Jeff Heuerman,77,255,11/24/92,Ohio State,TE,2552399
Royce Freeman,72,238,2/24/96,Oregon,RB,2560733
Courtland Sutton,76,216,10/10/95,Southern Methodist,WR,2560888
Erik Harris,74,220,4/2/90,"California, Pa.",SS,2555568
Devontae Booker,71,219,5/27/92,Utah,RB,2555223
Jake Butt,78,250,7/11/95,Michigan,TE,2557859
Phillip Lindsay,68,190,7/24/94,Colorado,RB,2559947
Martavis Bryant,4-Jun,210,12/20/91,Clemson,WR,2543572
Adam Jones,10-May,185,9/30/83,West Virginia,CB,2506345
Andy Janovich,73,238,5/23/93,Nebraska,RB,2555432
Shaquil Barrett,74,250,11/17/92,Colorado State,OLB,2550541
Josey Jewell,73,236,12/25/94,Iowa,LB,2560763
Tramaine Brock,72,188,8/20/88,Belhaven,CB,2507917
Tim Patrick,76,212,11/23/93,Utah,WR,2558985
DaeSean Hamilton,73,206,3/10/95,Penn State,WR,2561002
Lee Smith,78,265,11/21/87,Marshall,TE,2495347
Brandon LaFell,3-Jun,210,11/4/86,LSU,WR,497302
Will Parks,73,194,7/29/94,Arizona,FS,2556278
Bruce Irvin,75,250,11/1/87,West Virginia,LB,2532871
Geneo Grissom,4-Jun,265,6/4/92,Oklahoma,DE,2552271
Jacob Hollister,76,245,11/18/93,Wyoming,TE,2558956
Tyler Patmon,10-May,188,1/26/91,Oklahoma State,CB,2550659
Yannick Ngakoue,74,246,3/31/95,Maryland,DE,2555421
Brandon Wilds,Jun-00,220,7/22/93,South Carolina,RB,2556454
Sony Michel,71,215,2/17/95,Georgia,RB,2560809
Rico Gathers,6-Jun,280,1/7/94,Baylor,TE,2556375
Donte' Deayon,69,159,1/28/94,Boise State,CB,2556512
Jourdan Lewis,70,195,8/31/95,Michigan,CB,2557920
Russell Shepard,72,195,9/17/90,LSU,WR,2541944
Ibraheim Campbell,71,210,5/13/92,Northwestern,FS,2552605
Brandon Marshall,5-Jun,232,3/23/84,Central Florida,WR,2495893
Russell Wilson,71,215,11/29/88,Wisconsin,QB,2532975
Jaron Brown,75,204,1/8/90,Clemson,WR,2541966
Tyler Lockett,70,182,9/28/92,Kansas State,WR,2552430
Nick Vannett,78,261,3/6/93,Ohio State,TE,2555289
Chris Carson,71,222,9/16/94,Oklahoma State,RB,2558865
Earl Thomas,70,202,5/7/89,Texas,FS,2508080
Bradley McDougald,73,215,11/15/90,Kansas,SS,2539243
Akeem King,73,215,8/29/92,San Jose State,CB,2553456
Justin Coleman,71,190,3/27/93,Tennessee,CB,2553637
Tedric Thompson,72,204,1/20/95,Colorado,FS,2557881
Shaquill Griffin,72,198,7/20/95,Central Florida,CB,2558259
Austin Calitro,72,240,1/10/94,Villanova,LB,2558925
Rashaad Penny,71,220,2/2/96,San Diego State,RB,2560835
Will Dissly,76,267,7/8/96,Washington,TE,2561046
Mychal Kendricks,71,240,9/28/90,California,OLB,2532890
Barkevious Mingo,77,235,10/4/90,Louisiana State,OLB,2540140
Frank Clark,75,260,6/14/93,Michigan,DE,2552629
Tre Madden,Jun-00,235,8/16/93,USC,FB,2556603
David Moore,72,215,1/15/95,East Central,WR,2558856
C.J. Prosise,73,225,5/20/94,Notre Dame,RB,2555417
Mike Davis,69,221,2/19/93,South Carolina,RB,2553439
Josh Bellamy,72,208,5/18/89,Louisville,WR,2535964
Keenan Reynolds,10-May,191,12/13/93,Navy,WR,2555356
Baker Mayfield,73,215,4/14/95,Oklahoma,QB,2560800
Isaiah Oliver,72,210,9/30/96,Colorado,CB,2560830
Cameron Meredith,3-Jun,207,9/21/92,Illinois State,WR,2553568
Taysom Hill,74,221,8/23/90,Brigham Young,QB,2558954
Russell Gage,72,184,1/22/96,Louisiana State,WR,2561061
Isaac Yiadom,73,190,2/20/96,Boston College,DB,2560946
Albert McClellan,74,235,6/4/86,Marshall,OLB,496814
Shamarko Thomas,9-May,205,2/23/91,Syracuse,SS,2539937
Mark Walton,10-May,200,3/29/97,Miami (Fla.),HB,2560915
Jermaine Carter,72,225,1/14/95,Maryland,LB,2561093
Cody Core,75,205,4/17/94,Mississippi,WR,2555331
Elijhaa Penny,73,234,8/17/93,Idaho,RB,2556762
Sean Chandler,70,205,4/27/96,Temple,DB,2561017
Jadeveon Clowney,77,255,2/14/93,South Carolina,DE,2543456
J.J. Watt,77,288,3/22/89,Wisconsin,DE,2495488
Rashaan Evans,74,234,11/8/95,Alabama,LB,2560718
Tre Herndon,71,185,3/5/96,Vanderbilt,CB,2561340
MyCole Pruitt,74,243,3/24/92,Southern Illinois,TE,2552401
Kenneth Durden,73,180,5/16/92,Youngstown State,CB,2556798
Marquise Goodwin,69,185,11/19/90,Texas,WR,2539964
Malcolm Smith,72,225,7/5/89,Southern California,OLB,2499278
Reuben Foster,73,228,4/4/94,Alabama,OLB,2557837
D.J. Reed,69,193,11/11/96,Kansas State,DB,2560850
Marcus Kemp,76,210,8/14/95,Hawaii,WR,2559076
Dee Ford,74,252,3/19/91,Auburn,DE,2543494
Tarvarius Moore,74,200,8/16/96,Southern Mississippi,DB,2561117
Raheem Mostert,70,197,4/9/92,Purdue,RB,2553728
DeVante Parker,75,216,1/20/93,Louisville,WR,2552409
Dwayne Harris,70,215,9/16/87,East Carolina,WR,2495159
Nicholas Morrow,72,225,7/10/95,Greenville,ILB,2559054
Khari Lee,76,253,1/16/92,Bowie State,TE,2553552
Ryan Lewis,72,195,4/15/94,Pittsburgh,CB,2559208
Ray-Ray McCloud,69,190,10/15/96,Clemson,WR,2560801
Mike Boone,70,205,6/30/95,Cincinnati,RB,2561099
Aldrick Robinson,10-May,185,9/24/88,Southern Methodist,WR,2495331
Eric Wilson,73,230,9/26/94,Cincinnati,OLB,2559012
Jordan Matthews,75,215,7/16/92,Vanderbilt,WR,2543500
Carson Wentz,77,237,12/30/92,North Dakota State,QB,2555259
Josh Adams,74,225,10/29/96,Notre Dame,RB,2560949
Jacoby Brissett,76,235,12/11/92,North Carolina State,QB,2555261
Aaron Jones,69,208,12/2/94,Texas-El Paso,RB,2558116
Deshazor Everett,72,203,2/22/92,Texas A&M,SS,2553710
Mason Crosby,73,207,9/3/84,Colorado,K,2507232
J.K. Scott,78,208,10/30/95,Alabama,P,2560868
Hunter Bradley,75,240,5/21/94,Mississippi State,LS,2561156
Danny Johnson,69,190,11/17/95,Southern U.,DB,2560764
Oren Burks,75,233,3/21/95,Vanderbilt,LB,2560984
Michael Davis,74,196,1/6/95,Brigham Young,CB,2559164
Benny Cunningham,10-May,218,7/7/90,Middle Tennessee State,RB,2541544
Jermaine Gresham,5-Jun,260,6/16/88,Oklahoma,TE,497238
